id,serviceScore, shiftStartTime, shiftEndTime,shiftDuration,currentLat,currentLon,headingLat,headingLon,available,emptyCarMode,currentServePaxId,timeUntilAvailable,online, number of served pax,totIncome,avg income per pax
7730,29,2925,11532,8607,815,2525,-1,-1,true,2,-1,-100,true,0,0,NaN
11021,127,2926,11558,8632,1681,352,-1,-1,true,2,-1,-100,true,0,0,NaN
9003,64,2928,11759,8831,433,1026,-1,-1,true,2,-1,-100,true,0,0,NaN
7534,55,2929,10399,7470,1023,700,-1,-1,true,2,-1,-100,true,0,0,NaN
33,111,2525,10007,7482,781,1520,-1,-1,true,2,-1,0,true,1,144,144.0
11011,129,2932,10656,7724,1503,44,-1,-1,true,2,-1,-100,true,0,0,NaN
3000,55,1513,9117,7604,1603,1858,-1,-1,true,2,-1,0,true,2,119,59.5
7088,35,2934,11792,8858,483,2122,-1,-1,true,2,-1,-100,true,0,0,NaN
2757,64,2936,11493,8557,875,714,-1,-1,true,2,-1,-100,true,0,0,NaN
6918,46,2498,10983,8485,480,2225,-1,-1,true,2,-1,0,true,1,231,231.0
1436,60,2937,11727,8790,780,1857,-1,-1,true,2,-1,-100,true,0,0,NaN
4405,123,2938,10838,7900,473,431,-1,-1,true,2,-1,-100,true,0,0,NaN
2027,141,2939,11909,8970,543,1463,-1,-1,true,2,-1,-100,true,0,0,NaN
7542,14,2940,10611,7671,1485,1345,-1,-1,true,2,-1,-100,true,0,0,NaN
10221,40,2941,10472,7531,1452,2073,-1,-1,true,2,-1,-100,true,0,0,NaN
9207,56,2942,11471,8529,1226,1149,-1,-1,true,2,-1,-100,true,0,0,NaN
3373,69,2942,10646,7704,1240,1414,-1,-1,true,2,-1,-100,true,0,0,NaN
2447,32,1801,9450,7649,839,2288,-1,-1,true,2,-1,0,true,2,130,65.0
10836,30,2945,10590,7645,2017,521,-1,-1,true,2,-1,-100,true,0,0,NaN
3645,17,2945,10160,7215,1057,2365,-1,-1,true,2,-1,-100,true,0,0,NaN
11476,61,2946,11311,8365,702,2295,-1,-1,true,2,-1,-100,true,0,0,NaN
502,99,2946,11638,8692,2199,0,-1,-1,true,2,-1,-100,true,0,0,NaN
